Date,Close
2015-01-02,93.26
2015-01-05,92.23
2015-01-06,92.4
2015-01-07,94.010002
2015-01-08,94.36
2015-01-09,93.21
2015-01-12,93.010002
2015-01-13,92.83
2015-01-14,91.54
2015-01-15,91.38
2015-01-16,91.49
2015-01-20,90.8
2015-01-21,90.34
2015-01-22,90.89
2015-01-23,89.56
2015-01-26,90.67
2015-01-27,89.57
2015-01-28,88.78
2015-01-29,93.27
2015-01-30,92.44
2015-02-02,92.51
2015-02-03,93.92
2015-02-04,94.050003
2015-02-05,94.34
2015-02-06,93.99
2015-02-09,92.72
2015-02-10,94.019997
2015-02-11,94.21
2015-02-12,95.089996
2015-02-13,95.65
2015-02-17,94.35
2015-02-18,94.58
2015-02-19,94.19
2015-02-20,94.19
2015-02-23,94.31
2015-02-24,94.98
2015-02-25,98.66
2015-02-26,99.51
2015-02-27,98.9
2015-03-02,100.0
2015-03-03,99.74
2015-03-04,100.25
2015-03-05,99.11
2015-03-06,97.13
2015-03-09,97.71
2015-03-10,96.29
2015-03-11,94.96
2015-03-12,96.25
2015-03-13,96.35
2015-03-16,97.15
2015-03-17,96.17
2015-03-18,97.0
2015-03-19,95.98
2015-03-20,97.050003
2015-03-23,98.62
2015-03-24,99.36
2015-03-25,98.14
2015-03-26,97.64
2015-03-27,96.96
2015-03-30,97.88
2015-03-31,97.44
2015-04-01,96.29
2015-04-02,95.83
2015-04-06,96.28
2015-04-07,96.35
2015-04-08,96.85
2015-04-09,96.55
2015-04-10,97.8
2015-04-13,97.44
2015-04-14,97.58
2015-04-15,96.44
2015-04-16,95.63
2015-04-17,94.88
2015-04-20,96.18
2015-04-21,94.87
2015-04-22,97.84
2015-04-23,97.0
2015-04-24,98.74
2015-04-27,96.44
2015-04-28,96.83
2015-04-29,97.019997
2015-04-30,96.55
2015-05-01,97.8
2015-05-04,96.13
2015-05-05,96.13
2015-05-06,96.39
2015-05-07,96.78
2015-05-08,98.23
2015-05-11,97.51
2015-05-12,97.95
2015-05-13,97.35
2015-05-14,97.71
2015-05-15,98.040001
2015-05-18,98.019997
2015-05-19,100.68
2015-05-20,100.11
2015-05-21,99.28
2015-05-22,98.99
2015-05-26,98.46
2015-05-27,98.66
2015-05-28,96.48
2015-05-29,95.93
2015-06-01,96.22
2015-06-02,96.29
2015-06-03,96.52
2015-06-04,96.31
2015-06-05,95.54
2015-06-08,95.32
2015-06-09,94.73
2015-06-10,95.3
2015-06-11,95.59
2015-06-12,95.059998
2015-06-15,94.3
2015-06-16,94.63
2015-06-17,95.22
2015-06-18,96.17
2015-06-19,96.080002
2015-06-22,96.87
2015-06-23,97.18
2015-06-24,96.64
2015-06-25,95.79
2015-06-26,97.29
2015-06-29,95.44
2015-06-30,95.07
2015-07-01,95.76
2015-07-02,96.17
2015-07-06,95.65
2015-07-07,96.68
2015-07-08,95.84
2015-07-09,96.49
2015-07-10,97.65
2015-07-13,98.43
2015-07-14,98.78
2015-07-15,99.07
2015-07-16,97.86
2015-07-17,97.5
2015-07-20,97.49
2015-07-21,97.32
2015-07-22,97.58
2015-07-23,97.089996
2015-07-24,96.099998
2015-07-27,96.040001
2015-07-28,97.33
2015-07-29,98.21
2015-07-30,99.17
2015-07-31,99.86
2015-08-03,99.42
2015-08-04,99.14
2015-08-05,99.8
2015-08-06,99.35
2015-08-07,98.92
2015-08-10,99.39
2015-08-11,98.81
2015-08-12,98.28
2015-08-13,99.37
2015-08-14,99.27
2015-08-17,100.66
2015-08-18,100.76
2015-08-19,101.099998
2015-08-20,99.76
2015-08-21,97.13
2015-08-24,92.87
2015-08-25,91.21
2015-08-26,95.15
2015-08-27,97.33
2015-08-28,96.25
2015-08-31,95.019997
2015-09-01,93.47
2015-09-02,96.040001
2015-09-03,96.010002
2015-09-04,94.85
2015-09-08,96.78
2015-09-09,95.43
2015-09-10,95.25
2015-09-11,97.41
2015-09-14,96.97
2015-09-15,98.19
2015-09-16,98.69
2015-09-17,97.84
2015-09-18,97.050003
2015-09-21,97.9
2015-09-22,97.2
2015-09-23,97.38
2015-09-24,97.29
2015-09-25,97.59
2015-09-28,95.96
2015-09-29,97.48
2015-09-30,98.53
2015-10-01,98.78
2015-10-02,99.79
2015-10-05,101.17
2015-10-06,101.9
2015-10-07,101.77
2015-10-08,102.95
2015-10-09,102.76
2015-10-12,103.24
2015-10-13,103.38
2015-10-14,102.82
2015-10-15,103.66
2015-10-16,104.82
2015-10-19,104.49
2015-10-20,103.84
2015-10-21,102.54
2015-10-22,110.87
2015-10-23,112.59
2015-10-26,112.18
2015-10-27,111.64
