Date,Close
2020-08-10,3.2985
2020-08-11,3.7558
2020-08-12,3.73
2020-08-13,3.4099
2020-08-14,3.173
2020-08-15,3.3885
2020-08-16,3.11
2020-08-17,3.3407
2020-08-18,2.8868
2020-08-19,3.2038
2020-08-20,2.9317
2020-08-21,3.0126
2020-08-22,3.25
2020-08-23,3.3405
2020-08-24,3.25
2020-08-25,3.5684
2020-08-26,3.4501
2020-08-27,4.0063
2020-08-28,3.9535
2020-08-29,4.4309
2020-08-30,4.7435
2020-08-31,4.3397
2020-09-01,4.17
2020-09-02,3.5051
2020-09-03,3.5301
2020-09-04,2.6052
2020-09-05,3.0941
2020-09-06,2.9237
2020-09-07,2.468
2020-09-08,3.6001
2020-09-09,3.4761
2020-09-10,3.3965
2020-09-11,3.3316
2020-09-12,3.2603
2020-09-13,3.2641
2020-09-14,2.9295
2020-09-15,2.5327
2020-09-16,2.8829
2020-09-17,3.1144
2020-09-18,3.031
2020-09-19,2.8628
2020-09-20,2.7672
2020-09-21,2.9082
2020-09-22,2.8548
2020-09-23,3.1433
2020-09-24,3.1937
2020-09-25,3.1287
2020-09-26,3.1578
2020-09-27,2.9599
2020-09-28,2.9505
2020-09-29,2.8967
2020-09-30,2.8669
2020-10-01,2.6232
2020-10-02,2.5439
2020-10-03,2.5202
2020-10-04,2.6522
2020-10-05,2.174
2020-10-06,2.3005
2020-10-07,2.3638
2020-10-08,2.5314
2020-10-09,2.3999
2020-10-10,2.4227
2020-10-11,2.5836
2020-10-12,2.4062
2020-10-13,2.3107
2020-10-14,2.2682
2020-10-15,2.1398
2020-10-16,2.2053
2020-10-17,2.215
2020-10-18,2.0592
2020-10-19,1.885
2020-10-20,1.8887
2020-10-21,1.9582
2020-10-22,1.959
2020-10-23,1.9142
2020-10-24,1.7926
2020-10-25,1.6799
2020-10-26,1.711
2020-10-27,1.518
2020-10-28,1.4327
2020-10-29,1.4381
2020-10-30,1.5497
2020-10-31,1.608
2020-11-01,1.4738
2020-11-02,1.4118
2020-11-03,1.3912
2020-11-04,1.4007
2020-11-05,1.9
2020-11-06,2.0215
2020-11-07,2.1558
2020-11-08,2.0299
2020-11-09,2.2661
2020-11-10,2.0
2020-11-11,1.9089
2020-11-12,2.0141
2020-11-13,1.9182
2020-11-14,2.0407
2020-11-15,2.2626
2020-11-16,2.1998
2020-11-17,2.1153
2020-11-18,2.085
2020-11-19,2.1033
2020-11-20,2.3822
2020-11-21,2.1514
2020-11-22,2.2786
2020-11-23,2.2823
2020-11-24,2.2661
2020-11-25,1.9111
2020-11-26,1.861
2020-11-27,1.8868
2020-11-28,1.9153
2020-11-29,1.9665
2020-11-30,1.9738
2020-12-01,2.1209
2020-12-02,2.0967
2020-12-03,1.8535
2020-12-04,1.9795
2020-12-05,1.8505
2020-12-06,1.8272
2020-12-07,1.6631
2020-12-08,1.6592
2020-12-09,1.5683
2020-12-10,1.4389
2020-12-11,1.4912
2020-12-12,1.5701
2020-12-13,1.5946
2020-12-14,1.7586
2020-12-15,1.7829
2020-12-16,1.68
2020-12-17,1.7014
2020-12-18,1.6707
2020-12-19,1.5635
2020-12-20,1.5331
2020-12-21,1.49
2020-12-22,1.198
2020-12-23,1.3612
2020-12-24,1.4464
2020-12-25,1.3258
2020-12-26,1.3037
2020-12-27,1.5172
2020-12-28,1.6704
2020-12-29,1.535
2020-12-30,1.5073
2020-12-31,1.8421
2021-01-01,1.7999
2021-01-02,2.1779
2021-01-03,2.4909
2021-01-04,2.1636
2021-01-05,1.9414
2021-01-06,2.3635
2021-01-07,3.2214
2021-01-08,3.3829
2021-01-09,3.449
2021-01-10,3.1016
2021-01-11,3.6354
2021-01-12,3.5242
2021-01-13,3.2921
2021-01-14,3.2475
2021-01-15,3.4247
2021-01-16,3.8268
2021-01-17,3.7868
2021-01-18,3.6287
2021-01-19,3.7166
2021-01-20,2.9899
2021-01-21,3.3352
2021-01-22,3.5079
2021-01-23,3.6278
2021-01-24,3.7038
2021-01-25,4.041
2021-01-26,3.675
2021-01-27,3.81
2021-01-28,3.8293
2021-01-29,4.228
2021-01-30,4.2525
2021-01-31,4.6148
2021-02-01,5.2331
2021-02-02,5.7311
2021-02-03,6.4085
2021-02-04,6.7005
2021-02-05,6.1225
2021-02-06,6.6976
2021-02-07,7.855
2021-02-08,7.8005
2021-02-09,9.09
2021-02-10,9.2004
2021-02-11,9.2
2021-02-12,8.7441
2021-02-13,8.7158
2021-02-14,8.8516
2021-02-15,8.3002
2021-02-16,8.2357
2021-02-17,8.9771
2021-02-18,11.4912
2021-02-19,9.9869
2021-02-20,11.0753
2021-02-21,14.4191
2021-02-22,15.2244
2021-02-23,17.1691
2021-02-24,13.8442
2021-02-25,13.5962
2021-02-26,13.1916
2021-02-27,13.0887
2021-02-28,14.9855
2021-03-01,13.9438
2021-03-02,14.0742
2021-03-03,13.0508
2021-03-04,12.5382
2021-03-05,13.0421
2021-03-06,13.8174
2021-03-07,13.6028
2021-03-08,14.839
2021-03-09,14.2048
2021-03-10,16.031
2021-03-11,14.5597
2021-03-12,15.3033
2021-03-13,14.4605
2021-03-14,14.1577
2021-03-15,13.6392
2021-03-16,14.2018
2021-03-17,14.204
2021-03-18,14.1552
2021-03-19,14.1894
2021-03-20,14.3372
2021-03-21,14.7964
2021-03-22,14.1552
2021-03-23,13.5973
2021-03-24,12.9787
2021-03-25,14.7664
2021-03-26,16.4589
2021-03-27,18.0645
2021-03-28,18.9504
2021-03-29,19.0685
2021-03-30,19.3861
2021-03-31,19.0443
2021-04-01,19.7501
2021-04-02,22.5
2021-04-03,23.7755
2021-04-04,22.9717
2021-04-05,25.0548
2021-04-06,26.5385
2021-04-07,26.9384
2021-04-08,27.6172
2021-04-09,26.8021
2021-04-10,27.8517
2021-04-11,28.5424
2021-04-12,27.4507
2021-04-13,26.4067
2021-04-14,27.7816
2021-04-15,25.2996
2021-04-16,24.85
2021-04-17,32.3358
2021-04-18,31.4711
2021-04-19,31.7028
2021-04-20,32.5534
2021-04-21,38.9
2021-04-22,37.3893
2021-04-23,40.8401
2021-04-24,47.405
2021-04-25,43.878
2021-04-26,43.147
2021-04-27,44.833
2021-04-28,42.484
2021-04-29,42.786
2021-04-30,49.67
2021-05-01,46.897
2021-05-02,45.912
2021-05-03,42.636
2021-05-04,44.98
2021-05-05,43.496
2021-05-06,43.182
2021-05-07,45.612
2021-05-08,44.33
2021-05-09,42.854
2021-05-10,44.538
2021-05-11,43.709
2021-05-12,41.049
2021-05-13,42.7
2021-05-14,43.486
2021-05-15,46.85
2021-05-16,46.708
2021-05-17,55.977
2021-05-18,34.988
2021-05-19,44.42
2021-05-20,38.925
2021-05-21,31.222
2021-05-22,24.536
2021-05-23,31.416
2021-05-24,29.973
2021-05-25,35.43
2021-05-26,33.747
2021-05-27,28.989
2021-05-28,27.388
2021-05-29,28.588
2021-05-30,32.75
2021-05-31,30.938
2021-06-01,33.994
2021-06-02,39.602
2021-06-03,37.338
2021-06-04,39.633
2021-06-05,42.205
2021-06-06,38.235
2021-06-07,41.245
2021-06-08,42.032
2021-06-09,41.105
2021-06-10,36.157
2021-06-11,36.476
2021-06-12,38.706
2021-06-13,39.694
2021-06-14,39.536
2021-06-15,39.728
2021-06-16,39.265
2021-06-17,36.82
2021-06-18,35.19
2021-06-19,35.257
2021-06-20,26.59
2021-06-21,26.958
2021-06-22,30.837
2021-06-23,31.141
2021-06-24,28.641
2021-06-25,29.698
2021-06-26,31.897
2021-06-27,33.001
2021-06-28,33.97
2021-06-29,35.51
2021-06-30,33.271
2021-07-01,34.0
2021-07-02,34.498
2021-07-03,34.28
2021-07-04,32.908
2021-07-05,34.226
2021-07-06,36.673
2021-07-07,33.142
2021-07-08,33.315
2021-07-09,31.693
2021-07-10,32.182
2021-07-11,30.77
2021-07-12,29.136
2021-07-13,31.365
2021-07-14,28.545
2021-07-15,26.271
2021-07-16,26.802
2021-07-17,26.673
2021-07-18,24.509
2021-07-19,23.474
2021-07-20,26.7
2021-07-21,27.699
2021-07-22,28.516
2021-07-23,28.616
2021-07-24,28.248
2021-07-25,28.184
2021-07-26,28.103
2021-07-27,27.875
2021-07-28,31.235
2021-07-29,32.354
2021-07-30,36.744
2021-07-31,34.165
2021-08-01,33.167
2021-08-02,34.105
2021-08-03,35.76
2021-08-04,37.353
2021-08-05,39.525
2021-08-06,39.469
2021-08-07,37.65
2021-08-08,38.646
2021-08-09,40.64
2021-08-10,41.621
2021-08-11,41.102
2021-08-12,44.83
2021-08-13,44.14
2021-08-14,53.531
2021-08-15,62.016
2021-08-16,64.123
2021-08-17,72.663
2021-08-18,72.764
2021-08-19,78.643
2021-08-20,73.801
2021-08-21,72.775
2021-08-22,75.623
2021-08-23,70.527
2021-08-24,71.973
2021-08-25,74.92
2021-08-26,87.98
2021-08-27,96.22
2021-08-28,94.23
2021-08-29,110.25
2021-08-30,108.27
2021-08-31,110.71
2021-09-01,128.23
2021-09-02,146.4
2021-09-03,138.88
2021-09-04,142.0
2021-09-05,164.22
2021-09-06,173.46
2021-09-07,191.02
2021-09-08,187.9
2021-09-09,179.6
2021-09-10,179.04
2021-09-11,174.29
2021-09-12,169.53
2021-09-13,158.88
2021-09-14,158.79
2021-09-15,152.29
2021-09-16,147.58
2021-09-17,169.22
2021-09-18,152.76
2021-09-19,132.77
2021-09-20,124.29
2021-09-21,148.02
2021-09-22,149.91
2021-09-23,139.13
2021-09-24,136.06
2021-09-25,135.64
2021-09-26,136.35
2021-09-27,132.2
2021-09-28,135.25
2021-09-29,141.37
2021-09-30,161.56
