"Date","Close"
"04/11/2024",20.35
"05/11/2024",20.31
"06/11/2024",20.46
"07/11/2024",20.67
"08/11/2024",20.39
"11/11/2024",19.95
"12/11/2024",19.93
"13/11/2024",19.73
"14/11/2024",20.06
"15/11/2024",20.1
"18/11/2024",20.65
"19/11/2024",20.54
"20/11/2024",20.21
"21/11/2024",19.98
"22/11/2024",20.03
"25/11/2024",19.88
"26/11/2024",20.27
"27/11/2024",20.36
"29/12/2024",19.83
"02/12/2024",19.78
"03/12/2024",20.01
"04/12/2024",19.9
"05/12/2024",19.85
"06/12/2024",20.29
"09/12/2024",19.99
"10/12/2024",19.62
"11/12/2024",19.78
"12/12/2024",19.5
"13/12/2024",19.26
"16/12/2024",19.2
"17/12/2024",18.53
"18/12/2024",18.28
"19/12/2024",18.05
"20/12/2024",18.05
"23/12/2024",18.1
"24/12/2024",18.14
"26/12/2024",17.89
"27/12/2024",17.92
"30/12/2024",17.79
"31/12/2024",17.85
"02/01/2025",18.37
"03/01/2025",18.27
"06/01/2025",18
"07/01/2025",18.11
"08/01/2025",17.96
"09/01/2025",17.95
"10/01/2025",18.07
"13/01/2025",17.92
"14/01/2025",17.39
"15/01/2025",17.07
"16/01/2025",17.22
"17/01/2025",17.1
"21/01/2025",16.83
"22/01/2025",17.08
"23/01/2025",17.32
"24/01/2025",17.62
"27/01/2025",17.74
"28/01/2025",17.8
"29/01/2025",17.99
"30/01/2025",17.99
"31/01/2025",17.83
"04/02/2025",18.15
"05/02/2025",18.13
"06/02/2025",18.06
"07/02/2025",17.86
"10/02/2025",17.97
"11/02/2025",18.28
"12/02/2025",18.34
"13/02/2025",18.84
"14/02/2025",19.16
"18/02/2025",19.16
"19/02/2025",19.39
"20/02/2025",19.75
"21/02/2025",19.92
"24/02/2025",19.57
"25/02/2025",19.97
"26/02/2025",19.59
"27/02/2025",18.9
"28/02/2025",18.5
"03/03/2025",18.27
"04/03/2025",18.14
"05/03/2025",18.2
"06/03/2025",18.21
"07/03/2025",18.33
"10/03/2025",18.84
"11/03/2025",18.63
"12/03/2025",18.86
"13/03/2025",19.21
"14/03/2025",19.19
"17/03/2025",19.94
"18/03/2025",19.91
"19/03/2025",19.65
"20/03/2025",19.96
"21/03/2025",19.69
"24/03/2025",19.28
"25/03/2025",19.55
"26/03/2025",19.37
"27/03/2025",19.08
"28/03/2025",19.06
"31/03/2025",18.85
"01/04/2025",19.36
"02/04/2025",19.59
"03/04/2025",19.05
"04/04/2025",18.93
"07/04/2025",18.67
"08/04/2025",18.3
"09/04/2025",17.89
"10/04/2025",18.11
"11/04/2025",17.99
"14/04/2025",17.83
"15/04/2025",17.56
