Date,Close
2017-08-16,302.0
2017-08-17,293.96
2017-08-18,290.91
2017-08-19,299.1
2017-08-20,323.29
2017-08-21,309.8
2017-08-22,315.74
2017-08-23,323.42
2017-08-24,327.24
2017-08-25,330.79
2017-08-26,348.13
2017-08-27,346.0
2017-08-28,374.7
2017-08-29,385.93
2017-08-30,384.79
2017-08-31,388.46
2017-09-01,343.14
2017-09-02,341.77
2017-09-03,283.77
2017-09-04,312.09
2017-09-05,335.0
2017-09-06,334.49
2017-09-07,302.99
2017-09-08,296.74
2017-09-09,293.5
2017-09-10,297.3
2017-09-11,293.96
2017-09-12,276.91
2017-09-13,215.21
2017-09-14,253.0
2017-09-15,249.31
2017-09-16,257.55
2017-09-17,294.57
2017-09-18,284.0
2017-09-19,282.0
2017-09-20,257.0
2017-09-21,264.0
2017-09-22,285.93
2017-09-23,282.0
2017-09-24,294.42
2017-09-25,287.9
2017-09-26,309.74
2017-09-27,302.44
2017-09-28,292.22
2017-09-29,304.36
2017-09-30,303.95
2017-10-01,296.5
2017-10-02,292.48
2017-10-03,291.99
2017-10-04,294.81
2017-10-05,310.8
2017-10-06,311.01
2017-10-07,311.07
2017-10-08,297.19
2017-10-09,298.64
2017-10-10,304.01
2017-10-11,303.99
2017-10-12,337.96
2017-10-13,342.0
2017-10-14,337.96
2017-10-15,335.19
2017-10-16,315.19
2017-10-17,309.7
2017-10-18,308.66
2017-10-19,304.51
2017-10-20,298.94
2017-10-21,293.79
2017-10-22,281.09
2017-10-23,297.38
2017-10-24,294.49
2017-10-25,294.71
2017-10-26,296.33
2017-10-27,291.87
2017-10-28,305.0
2017-10-29,307.25
2017-10-30,304.9
2017-10-31,287.01
2017-11-01,283.12
2017-11-02,304.08
2017-11-03,298.04
2017-11-04,295.53
2017-11-05,297.97
2017-11-06,291.78
2017-11-07,303.02
2017-11-08,317.87
2017-11-09,293.5
2017-11-10,310.02
2017-11-11,305.24
2017-11-12,312.99
2017-11-13,335.61
2017-11-14,331.33
2017-11-15,331.49
2017-11-16,331.23
2017-11-17,346.66
2017-11-18,354.15
2017-11-19,367.42
2017-11-20,362.12
2017-11-21,380.65
2017-11-22,405.0
2017-11-23,469.0
2017-11-24,461.82
2017-11-25,462.84
2017-11-26,472.31
2017-11-27,466.17
2017-11-28,421.7
2017-11-29,427.43
2017-11-30,457.51
2017-12-01,457.63
2017-12-02,460.3
2017-12-03,466.67
2017-12-04,452.26
2017-12-05,411.01
2017-12-06,406.33
2017-12-07,442.56
2017-12-08,460.0
2017-12-09,427.35
2017-12-10,508.7
2017-12-11,620.0
2017-12-12,683.99
2017-12-13,679.76
2017-12-14,674.95
2017-12-15,682.81
2017-12-16,707.64
2017-12-17,784.0
2017-12-18,798.0
2017-12-19,790.21
2017-12-20,782.41
2017-12-21,635.97
2017-12-22,640.34
2017-12-23,658.0
2017-12-24,714.95
2017-12-25,750.0
2017-12-26,739.89
2017-12-27,707.89
2017-12-28,733.99
2017-12-29,681.06
2017-12-30,733.98
2017-12-31,754.99
2018-01-01,855.28
2018-01-02,934.03
2018-01-03,940.0
2018-01-04,959.3
2018-01-05,1004.11
2018-01-06,1123.09
2018-01-07,1133.18
2018-01-08,1291.0
2018-01-09,1247.0
2018-01-10,1138.93
2018-01-11,1253.87
2018-01-12,1388.02
2018-01-13,1347.0
2018-01-14,1271.0
2018-01-15,1000.0
2018-01-16,1000.0
2018-01-17,994.0
2018-01-18,1032.5
2018-01-19,1152.75
2018-01-20,1049.0
2018-01-21,993.0
2018-01-22,980.0
2018-01-23,1061.0
2018-01-24,1056.52
2018-01-25,1051.03
2018-01-26,1118.99
2018-01-27,1251.96
2018-01-28,1177.01
2018-01-29,1085.5
2018-01-30,1124.81
2018-01-31,1041.94
2018-02-01,922.3
2018-02-02,971.0
2018-02-03,823.56
2018-02-04,697.92
2018-02-05,779.25
2018-02-06,754.0
2018-02-07,781.66
2018-02-08,877.0
2018-02-09,851.15
2018-02-10,808.99
2018-02-11,866.66
2018-02-12,841.57
2018-02-13,919.09
2018-02-14,924.55
2018-02-15,938.67
2018-02-16,969.99
2018-02-17,911.0
2018-02-18,938.11
2018-02-19,882.99
2018-02-20,835.89
2018-02-21,801.49
2018-02-22,851.6
2018-02-23,833.94
2018-02-24,841.19
2018-02-25,867.98
2018-02-26,870.11
2018-02-27,853.5
2018-02-28,870.63
2018-03-01,856.28
2018-03-02,856.02
2018-03-03,866.66
2018-03-04,849.84
2018-03-05,813.11
2018-03-06,749.9
2018-03-07,695.46
2018-03-08,723.71
2018-03-09,680.58
2018-03-10,720.85
2018-03-11,697.11
2018-03-12,689.94
2018-03-13,610.1
2018-03-14,608.83
2018-03-15,599.05
2018-03-16,546.95
2018-03-17,537.0
2018-03-18,556.88
2018-03-19,557.0
2018-03-20,559.17
2018-03-21,539.92
2018-03-22,543.03
2018-03-23,520.22
2018-03-24,523.74
2018-03-25,485.0
2018-03-26,448.5
2018-03-27,446.67
2018-03-28,384.0
2018-03-29,392.43
2018-03-30,393.92
2018-03-31,378.58
2018-04-01,385.05
2018-04-02,415.01
2018-04-03,378.16
2018-04-04,381.22
2018-04-05,368.89
2018-04-06,384.51
2018-04-07,400.4
2018-04-08,399.44
2018-04-09,416.07
2018-04-10,429.52
2018-04-11,495.67
2018-04-12,495.11
2018-04-13,502.68
2018-04-14,533.88
2018-04-15,511.46
2018-04-16,502.56
2018-04-17,526.09
2018-04-18,568.14
2018-04-19,617.09
2018-04-20,604.87
2018-04-21,620.92
2018-04-22,645.09
2018-04-23,701.58
2018-04-24,618.0
2018-04-25,661.51
2018-04-26,643.46
2018-04-27,682.86
2018-04-28,690.85
2018-04-29,670.78
2018-04-30,672.0
2018-05-01,688.56
2018-05-02,779.0
2018-05-03,785.99
2018-05-04,819.5
2018-05-05,794.3
2018-05-06,752.49
2018-05-07,748.99
2018-05-08,751.75
2018-05-09,722.52
2018-05-10,676.96
2018-05-11,684.11
2018-05-12,729.08
2018-05-13,727.49
2018-05-14,704.91
2018-05-15,706.29
2018-05-16,667.62
2018-05-17,692.6
2018-05-18,697.0
2018-05-19,716.16
2018-05-20,696.7
2018-05-21,640.99
2018-05-22,577.19
2018-05-23,602.18
2018-05-24,585.55
2018-05-25,586.0
2018-05-26,570.4
2018-05-27,511.5
2018-05-28,567.36
2018-05-29,557.19
2018-05-30,577.81
2018-05-31,579.0
2018-06-01,590.85
2018-06-02,619.66
2018-06-03,591.02
2018-06-04,609.05
2018-06-05,607.4
2018-06-06,605.16
2018-06-07,598.68
2018-06-08,592.87
2018-06-09,524.11
2018-06-10,531.69
2018-06-11,493.0
2018-06-12,475.47
2018-06-13,519.29
2018-06-14,487.48
2018-06-15,496.74
2018-06-16,497.14
2018-06-17,517.95
2018-06-18,537.97
2018-06-19,536.49
2018-06-20,526.18
2018-06-21,462.09
2018-06-22,473.41
2018-06-23,454.41
2018-06-24,458.7
2018-06-25,429.34
2018-06-26,441.64
2018-06-27,420.22
2018-06-28,434.77
2018-06-29,454.09
2018-06-30,452.1
2018-07-01,476.25
2018-07-02,461.82
2018-07-03,467.38
2018-07-04,467.87
2018-07-05,470.47
2018-07-06,485.57
2018-07-07,486.77
2018-07-08,471.71
2018-07-09,432.48
2018-07-10,444.99
2018-07-11,431.14
2018-07-12,432.46
2018-07-13,433.19
2018-07-14,449.78
2018-07-15,478.49
2018-07-16,498.76
2018-07-17,479.41
2018-07-18,468.57
2018-07-19,449.04
2018-07-20,460.23
2018-07-21,457.47
2018-07-22,450.05
2018-07-23,479.28
2018-07-24,472.1
2018-07-25,462.64
2018-07-26,470.09
2018-07-27,469.29
2018-07-28,466.4
2018-07-29,456.23
2018-07-30,432.22
2018-07-31,420.41
2018-08-01,410.62
2018-08-02,417.52
2018-08-03,407.21
2018-08-04,408.79
2018-08-05,405.28
2018-08-06,378.21
2018-08-07,355.48
2018-08-08,363.3
2018-08-09,331.81
2018-08-10,317.69
2018-08-11,317.89
2018-08-12,283.81
2018-08-13,278.41
2018-08-14,281.12
2018-08-15,287.17
2018-08-16,317.51
2018-08-17,294.11
2018-08-18,299.42
2018-08-19,270.51
2018-08-20,281.21
2018-08-21,270.8
2018-08-22,275.99
2018-08-23,281.19
2018-08-24,277.55
2018-08-25,274.29
2018-08-26,287.71
2018-08-27,295.44
2018-08-28,288.4
2018-08-29,283.89
2018-08-30,281.41
2018-08-31,295.71
2018-09-01,295.41
2018-09-02,289.09
2018-09-03,285.3
2018-09-04,228.53
2018-09-05,229.7
2018-09-06,215.22
2018-09-07,196.71
2018-09-08,195.81
2018-09-09,197.15
2018-09-10,185.18
2018-09-11,183.12
2018-09-12,210.68
2018-09-13,208.82
2018-09-14,221.29
2018-09-15,220.17
2018-09-16,196.16
2018-09-17,208.17
2018-09-18,209.79
2018-09-19,224.0
2018-09-20,247.73
2018-09-21,241.01
2018-09-22,244.5
2018-09-23,228.06
2018-09-24,219.62
2018-09-25,214.42
2018-09-26,229.13
2018-09-27,221.84
2018-09-28,231.62
2018-09-29,232.94
2018-09-30,231.61
2018-10-01,225.69
2018-10-02,220.77
2018-10-03,222.66
2018-10-04,228.37
2018-10-05,225.4
2018-10-06,226.14
2018-10-07,230.01
2018-10-08,228.4
2018-10-09,226.74
2018-10-10,191.58
2018-10-11,196.96
2018-10-12,201.3
2018-10-13,197.01
2018-10-14,214.39
2018-10-15,215.09
2018-10-16,212.85
2018-10-17,206.24
2018-10-18,205.0
2018-10-19,207.91
2018-10-20,207.49
2018-10-21,206.67
2018-10-22,205.85
2018-10-23,205.35
2018-10-24,203.93
2018-10-25,204.92
2018-10-26,204.45
2018-10-27,204.99
2018-10-28,196.96
2018-10-29,197.27
2018-10-30,198.73
2018-10-31,199.96
2018-11-01,202.35
2018-11-02,200.31
2018-11-03,212.11
2018-11-04,210.66
2018-11-05,220.74
2018-11-06,219.07
2018-11-07,212.79
2018-11-08,210.77
2018-11-09,213.25
2018-11-10,212.54
2018-11-11,212.89
2018-11-12,209.84
2018-11-13,187.43
2018-11-14,184.35
2018-11-15,176.89
2018-11-16,176.2
2018-11-17,178.97
2018-11-18,150.81
2018-11-19,133.82
2018-11-20,138.23
2018-11-21,126.63
2018-11-22,125.02
2018-11-23,114.89
2018-11-24,118.67
2018-11-25,110.68
2018-11-26,111.43
2018-11-27,122.9
2018-11-28,117.98
2018-11-29,113.73
2018-11-30,118.1
2018-12-01,116.57
2018-12-02,108.76
2018-12-03,109.94
2018-12-04,102.71
2018-12-05,91.0
2018-12-06,93.05
2018-12-07,90.38
2018-12-08,93.26
2018-12-09,89.91
2018-12-10,87.76
2018-12-11,89.41
2018-12-12,86.34
2018-12-13,83.82
2018-12-14,83.76
2018-12-15,84.67
2018-12-16,94.02
2018-12-17,100.39
2018-12-18,98.74
2018-12-19,114.05
2018-12-20,107.69
2018-12-21,115.2
2018-12-22,129.03
2018-12-23,138.03
2018-12-24,127.6
2018-12-25,129.35
2018-12-26,113.8
2018-12-27,135.3
2018-12-28,132.89
2018-12-29,137.77
2018-12-30,131.45
2018-12-31,139.1
2019-01-01,152.01
2019-01-02,146.3
2019-01-03,151.97
2019-01-04,152.83
2019-01-05,153.86
2019-01-06,149.34
2019-01-07,147.6
2019-01-08,148.1
2019-01-09,124.95
2019-01-10,124.65
2019-01-11,123.35
2019-01-12,114.16
2019-01-13,126.95
2019-01-14,118.95
2019-01-15,121.48
2019-01-16,121.54
2019-01-17,119.17
2019-01-18,122.6
2019-01-19,117.47
2019-01-20,115.63
2019-01-21,117.81
2019-01-22,116.44
2019-01-23,116.39
2019-01-24,115.11
2019-01-25,115.34
2019-01-26,112.05
2019-01-27,105.5
2019-01-28,104.45
2019-01-29,108.29
2019-01-30,106.44
2019-01-31,106.73
2019-02-01,110.42
2019-02-02,107.36
2019-02-03,107.68
2019-02-04,107.27
2019-02-05,104.5
2019-02-06,104.48
2019-02-07,119.25
2019-02-08,119.19
2019-02-09,125.12
2019-02-10,120.89
2019-02-11,122.41
2019-02-12,121.86
2019-02-13,120.42
2019-02-14,121.67
2019-02-15,122.67
2019-02-16,133.75
2019-02-17,145.69
2019-02-18,143.44
2019-02-19,148.44
2019-02-20,145.69
2019-02-21,147.36
2019-02-22,157.79
2019-02-23,132.1
2019-02-24,137.87
2019-02-25,136.22
2019-02-26,135.02
2019-02-27,135.34
2019-02-28,135.32
2019-03-01,132.56
2019-03-02,130.6
2019-03-03,125.65
2019-03-04,136.72
2019-03-05,137.4
2019-03-06,136.81
2019-03-07,133.52
2019-03-08,137.27
2019-03-09,135.37
2019-03-10,132.67
2019-03-11,133.57
2019-03-12,131.65
2019-03-13,132.2
2019-03-14,136.56
2019-03-15,140.92
2019-03-16,138.67
2019-03-17,137.59
2019-03-18,138.55
2019-03-19,139.01
2019-03-20,134.85
2019-03-21,135.98
2019-03-22,137.28
2019-03-23,136.09
2019-03-24,133.98
2019-03-25,134.18
2019-03-26,139.45
2019-03-27,137.86
2019-03-28,143.25
2019-03-29,142.46
2019-03-30,141.38
2019-03-31,141.24
2019-04-01,163.31
2019-04-02,159.96
2019-04-03,157.36
2019-04-04,164.77
2019-04-05,165.5
2019-04-06,174.21
2019-04-07,178.72
2019-04-08,174.6
2019-04-09,177.12
2019-04-10,164.07
2019-04-11,163.19
2019-04-12,162.99
2019-04-13,167.23
2019-04-14,159.95
2019-04-15,165.37
2019-04-16,165.75
2019-04-17,173.33
2019-04-18,172.64
2019-04-19,172.88
2019-04-20,168.59
2019-04-21,170.52
2019-04-22,169.16
2019-04-23,164.78
2019-04-24,154.72
2019-04-25,157.95
2019-04-26,159.31
2019-04-27,157.85
2019-04-28,155.11
2019-04-29,161.83
2019-04-30,160.19
2019-05-01,161.81
2019-05-02,168.06
2019-05-03,163.7
2019-05-04,163.05
2019-05-05,173.0
2019-05-06,169.18
2019-05-07,170.85
2019-05-08,170.9
2019-05-09,172.91
2019-05-10,190.2
2019-05-11,188.11
2019-05-12,195.84
2019-05-13,216.4
2019-05-14,248.1
2019-05-15,264.25
2019-05-16,244.3
2019-05-17,233.6
2019-05-18,259.51
2019-05-19,250.37
2019-05-20,253.43
2019-05-21,243.64
2019-05-22,244.56
2019-05-23,248.87
2019-05-24,250.22
2019-05-25,264.45
2019-05-26,270.53
2019-05-27,271.03
2019-05-28,268.83
2019-05-29,254.56
2019-05-30,267.9
2019-05-31,264.33
2019-06-01,268.88
2019-06-02,249.91
2019-06-03,241.39
2019-06-04,245.63
2019-06-05,248.76
2019-06-06,248.77
2019-06-07,243.25
2019-06-08,230.98
2019-06-09,246.51
2019-06-10,244.29
2019-06-11,261.15
2019-06-12,254.67
2019-06-13,262.47
2019-06-14,267.82
2019-06-15,267.73
2019-06-16,273.16
2019-06-17,264.66
2019-06-18,268.14
2019-06-19,271.22
2019-06-20,294.35
2019-06-21,310.79
2019-06-22,308.52
2019-06-23,311.64
2019-06-24,318.26
2019-06-25,339.39
2019-06-26,298.35
2019-06-27,311.05
2019-06-28,317.62
2019-06-29,292.7
2019-06-30,295.07
2019-07-01,291.48
2019-07-02,301.14
2019-07-03,282.73
2019-07-04,287.47
2019-07-05,288.29
2019-07-06,304.72
2019-07-07,311.97
2019-07-08,307.46
2019-07-09,289.23
2019-07-10,268.63
2019-07-11,274.62
2019-07-12,268.79
2019-07-13,225.85
2019-07-14,228.2
2019-07-15,198.88
2019-07-16,210.81
2019-07-17,225.73
2019-07-18,220.73
2019-07-19,228.2
2019-07-20,225.38
2019-07-21,217.51
2019-07-22,212.48
2019-07-23,216.31
2019-07-24,219.14
2019-07-25,218.81
2019-07-26,207.3
2019-07-27,211.62
2019-07-28,210.89
2019-07-29,209.58
2019-07-30,218.42
2019-07-31,216.84
2019-08-01,217.61
2019-08-02,222.14
2019-08-03,221.79
2019-08-04,233.54
2019-08-05,226.28
2019-08-06,226.1
2019-08-07,221.39
2019-08-08,210.53
2019-08-09,206.48
2019-08-10,216.42
2019-08-11,211.41
2019-08-12,209.3
2019-08-13,187.1
2019-08-14,188.03
2019-08-15,184.88
2019-08-16,185.59
2019-08-17,194.33
2019-08-18,202.28
2019-08-19,196.6
2019-08-20,187.45
2019-08-21,190.35
2019-08-22,194.02
2019-08-23,190.6
2019-08-24,186.54
2019-08-25,188.67
2019-08-26,187.24
2019-08-27,173.03
2019-08-28,169.01
2019-08-29,168.5
2019-08-30,171.57
2019-08-31,170.74
2019-09-01,178.05
2019-09-02,178.75
2019-09-03,174.72
2019-09-04,173.75
2019-09-05,169.08
2019-09-06,177.62
2019-09-07,181.19
2019-09-08,180.54
2019-09-09,179.81
2019-09-10,178.28
2019-09-11,180.72
2019-09-12,180.95
2019-09-13,188.13
2019-09-14,189.03
2019-09-15,197.22
2019-09-16,207.84
2019-09-17,210.21
2019-09-18,220.24
2019-09-19,218.03
2019-09-20,215.05
2019-09-21,211.2
2019-09-22,201.29
2019-09-23,165.81
2019-09-24,169.96
2019-09-25,165.92
2019-09-26,173.79
2019-09-27,173.49
2019-09-28,169.24
2019-09-29,180.85
2019-09-30,175.66
2019-10-01,180.24
2019-10-02,174.69
2019-10-03,175.55
2019-10-04,176.25
2019-10-05,170.1
2019-10-06,179.85
2019-10-07,180.6
2019-10-08,192.62
2019-10-09,191.14
2019-10-10,180.72
2019-10-11,179.68
2019-10-12,180.99
2019-10-13,186.72
2019-10-14,180.49
2019-10-15,174.47
2019-10-16,177.16
2019-10-17,172.74
2019-10-18,171.79
2019-10-19,175.22
2019-10-20,173.98
2019-10-21,171.2
2019-10-22,162.35
2019-10-23,160.38
2019-10-24,181.5
2019-10-25,179.49
2019-10-26,183.75
2019-10-27,181.72
2019-10-28,190.46
2019-10-29,183.13
2019-10-30,182.18
2019-10-31,182.85
2019-11-01,182.91
2019-11-02,181.54
2019-11-03,185.71
2019-11-04,188.68
2019-11-05,191.16
2019-11-06,186.68
2019-11-07,183.74
2019-11-08,184.89
2019-11-09,188.96
2019-11-10,184.98
2019-11-11,187.09
2019-11-12,188.11
2019-11-13,184.92
2019-11-14,180.0
2019-11-15,182.37
2019-11-16,183.82
2019-11-17,178.2
2019-11-18,175.94
2019-11-19,174.72
2019-11-20,161.01
2019-11-21,149.56
2019-11-22,151.84
2019-11-23,139.96
2019-11-24,145.69
2019-11-25,147.47
2019-11-26,152.62
2019-11-27,150.72
2019-11-28,154.57
2019-11-29,151.37
2019-11-30,150.73
2019-12-01,148.65
2019-12-02,147.17
2019-12-03,145.38
2019-12-04,148.1
2019-12-05,148.45
2019-12-06,147.14
