Date,Close
2019-03-14,52.1
2019-03-15,53.35
2019-03-16,52.36
2019-03-17,52.06
2019-03-18,52.9
2019-03-19,54.19
2019-03-20,52.28
2019-03-21,52.66
2019-03-22,52.67
2019-03-23,52.64
2019-03-24,51.21
2019-03-25,51.74
2019-03-26,53.48
2019-03-27,52.8
2019-03-28,53.72
2019-03-29,53.53
2019-03-30,56.07
2019-03-31,60.13
2019-04-01,68.94
2019-04-02,65.88
2019-04-03,63.57
2019-04-04,69.08
2019-04-05,67.82
2019-04-06,69.34
2019-04-07,70.47
2019-04-08,67.75
2019-04-09,70.86
2019-04-10,65.97
2019-04-11,65.73
2019-04-12,64.92
2019-04-13,66.25
2019-04-14,63.91
2019-04-15,68.16
2019-04-16,67.01
2019-04-17,68.74
2019-04-18,68.27
2019-04-19,69.35
2019-04-20,68.29
2019-04-21,68.17
2019-04-22,68.29
2019-04-23,67.31
2019-04-24,61.49
2019-04-25,62.5
2019-04-26,63.12
2019-04-27,62.07
2019-04-28,61.08
2019-04-29,62.55
2019-04-30,65.64
2019-05-01,65.1
2019-05-02,67.46
2019-05-03,68.4
2019-05-04,66.52
2019-05-05,67.5
2019-05-06,65.93
2019-05-07,67.93
2019-05-08,65.61
2019-05-09,68.84
2019-05-10,77.73
2019-05-11,75.66
2019-05-12,79.53
2019-05-13,83.46
2019-05-14,94.0
2019-05-15,87.2
2019-05-16,82.61
2019-05-17,79.75
2019-05-18,90.09
2019-05-19,87.19
2019-05-20,88.51
2019-05-21,83.07
2019-05-22,84.69
2019-05-23,85.44
2019-05-24,86.8
2019-05-25,91.3
2019-05-26,97.43
2019-05-27,95.93
2019-05-28,93.81
2019-05-29,91.61
2019-05-30,93.25
2019-05-31,92.96
2019-06-01,94.77
2019-06-02,88.85
2019-06-03,83.65
2019-06-04,84.65
2019-06-05,86.69
2019-06-06,88.0
2019-06-07,87.32
2019-06-08,83.38
2019-06-09,86.72
2019-06-10,86.13
2019-06-11,90.1
2019-06-12,89.26
2019-06-13,90.29
2019-06-14,94.72
2019-06-15,95.99
2019-06-16,98.71
2019-06-17,96.49
2019-06-18,100.19
2019-06-19,105.07
2019-06-20,109.54
2019-06-21,115.48
2019-06-22,116.01
2019-06-23,117.86
2019-06-24,112.3
2019-06-25,105.0
2019-06-26,96.38
2019-06-27,102.06
2019-06-28,99.93
2019-06-29,88.71
2019-06-30,88.96
2019-07-01,86.73
2019-07-02,89.84
2019-07-03,87.65
2019-07-04,89.45
2019-07-05,94.65
2019-07-06,106.99
2019-07-07,101.15
2019-07-08,99.35
2019-07-09,95.0
2019-07-10,89.75
2019-07-11,98.08
2019-07-12,93.49
2019-07-13,86.23
2019-07-14,88.84
2019-07-15,74.22
2019-07-16,76.59
2019-07-17,84.06
2019-07-18,82.05
2019-07-19,85.35
2019-07-20,84.1
2019-07-21,83.48
2019-07-22,81.09
2019-07-23,80.44
2019-07-24,81.04
2019-07-25,80.2
2019-07-26,78.89
2019-07-27,80.18
2019-07-28,78.28
2019-07-29,78.24
2019-07-30,80.46
2019-07-31,82.15
2019-08-01,83.93
2019-08-02,88.03
2019-08-03,87.76
2019-08-04,93.55
2019-08-05,89.9
2019-08-06,97.43
2019-08-07,95.55
2019-08-08,93.4
2019-08-09,90.78
2019-08-10,92.3
2019-08-11,91.21
2019-08-12,85.78
2019-08-13,78.9
2019-08-14,82.44
2019-08-15,82.25
2019-08-16,81.52
2019-08-17,87.75
2019-08-18,89.32
2019-08-19,85.61
2019-08-20,80.84
2019-08-21,82.02
2019-08-22,82.08
2019-08-23,80.52
2019-08-24,80.6
2019-08-25,79.75
2019-08-26,78.5
2019-08-27,72.1
2019-08-28,66.9
2019-08-29,67.82
2019-08-30,67.34
2019-08-31,71.34
2019-09-01,73.05
2019-09-02,74.78
2019-09-03,73.79
2019-09-04,75.97
2019-09-05,75.22
2019-09-06,78.0
2019-09-07,77.15
2019-09-08,74.94
2019-09-09,72.27
2019-09-10,74.18
2019-09-11,74.88
2019-09-12,76.79
2019-09-13,76.1
2019-09-14,75.45
2019-09-15,75.37
2019-09-16,73.73
2019-09-17,80.99
2019-09-18,75.77
2019-09-19,73.78
2019-09-20,72.33
2019-09-21,73.0
2019-09-22,68.49
2019-09-23,58.63
2019-09-24,59.59
2019-09-25,57.3
2019-09-26,57.48
2019-09-27,57.6
2019-09-28,55.82
2019-09-29,56.83
2019-09-30,55.5
2019-10-01,55.88
2019-10-02,56.13
2019-10-03,57.11
2019-10-04,56.41
2019-10-05,54.71
2019-10-06,56.11
2019-10-07,55.46
2019-10-08,57.0
2019-10-09,55.69
2019-10-10,53.93
2019-10-11,53.58
2019-10-12,53.25
2019-10-13,53.06
2019-10-14,52.1
2019-10-15,54.79
2019-10-16,55.92
2019-10-17,55.23
2019-10-18,54.42
2019-10-19,56.4
2019-10-20,57.51
2019-10-21,56.67
2019-10-22,53.27
2019-10-23,53.32
2019-10-24,59.05
2019-10-25,56.77
2019-10-26,59.67
2019-10-27,59.29
2019-10-28,59.49
2019-10-29,58.42
2019-10-30,59.01
2019-10-31,60.62
2019-11-01,62.15
2019-11-02,63.25
2019-11-03,62.98
2019-11-04,62.8
2019-11-05,64.0
2019-11-06,63.07
2019-11-07,60.77
2019-11-08,61.83
2019-11-09,63.78
2019-11-10,61.72
2019-11-11,62.26
2019-11-12,65.25
2019-11-13,65.02
2019-11-14,61.9
2019-11-15,61.38
2019-11-16,61.73
2019-11-17,58.41
2019-11-18,58.53
2019-11-19,57.9
2019-11-20,54.11
2019-11-21,50.99
2019-11-22,51.58
2019-11-23,47.44
2019-11-24,49.87
2019-11-25,51.18
2019-11-26,55.79
2019-11-27,53.81
2019-11-28,55.77
2019-11-29,54.86
2019-11-30,53.38
